QTY,Reference(s),Value,Digikey
10,"C1, C4",0.1uF,311-1361-1-ND
5,C2,1000pF,311-1469-1-ND
5,C3,0.15uF,311-3393-1-ND
10,"D1, D2",BZX84Cxx,MMBZ5240B-FDICT-ND
5,J1,Conn_01x04,WM4202-ND
5,J7,Conn_02x10_Counter_Clockwise,S9197-ND
5,Q1,IXTA96P085T-TRL,IXTA96P085T-TRLCT-ND
5,Q2,IXTA96P085T-TRL,IXTA96P085T-TRLCT-ND
5,Q3,IXTA96P085T-TRL,IXTA96P085T-TRLCT-ND
5,Q4,IXTA96P085T-TRL,IXTA96P085T-TRLCT-ND
10,"R1, R2",330R,A106061CT-ND
10,"R3, R5",200R,311-200ARCT-ND
15,"R4, R6, R8",1k,311-1.0KARCT-ND
5,R7,DNS for ACS725 / 0R for ACS722,311-0.0ARCT-ND
10,"U1, U2",ACPL-214-500E,559-1105-ND
5,U3,ACS725xLCTR-10AU,620-1719-1-ND
5,U4,PDS1-S5-S12-M-TR,102-2686-1-ND
5,U5,ADS1115IDGS,296-25226-1-ND
