Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,20p,C1648
"C10, C11, C12, C13, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C5, C6, C7, C8, C9",CP_Radial_D18.0mm_P7.50mm,20,120F 2.3v,
"C14, C15, C29, C30, C31, C33, C34, C35, C36, C37, C38, C4, C41, C47",0603,14,100n,C14663
"C16, C28, C3, C32, C39, C45",0603,6,1u,C15849
C40,CP_Radial_D8.0mm_P3.50mm,1,47uF 63V solid,C2887234
"C42, C52",0805,2,22uF 25V,C602037
C43,1210,1,4.7uF 100V,C342614
C44,0805,1,100nF 100V,C28233
C46,0603,1,22nF,C779971
C48,0805,1,10u,C15850
C49,0603,1,22pF,C1653
C50,0805,1,47uF 10v,C59461
C51,0603,1,47pf,C1671
C53,CP_Elec_6.3x7.7,1,220uF 25V,C340768
D1,D_SOD-123,1,B5819W SL,C8598
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",DIO_PESD5V0S1UL_315,20,2.4v zener,C551192
"D22, D24",D_SMA,2,SMAJ51A,C726760
"D23, D25",D_SMA,2,D,C95872
D26,D_SMA,1,SS310,C15874
"D27, D28, D29",D_SOD-323,3,1N4148WS,C2128
"D30, D31, D32",LED_WS2812_3528_3.5x2.8mm_P1.5mm,3,WS2812B,C2890364
"D33, D34",D_SOD-323,2,Zener 10v,C85383
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,CPU2 USB,C2835315
J2,Ckmtw-W-2510S06P_1x06_P2.54mm_Vertical,1,Conn_01x06,C140771
J3,PowerPole_PP45_1336G1_1x2_Horizontal,1,Power Output,
"J4, J5",PowerPole_PP45_1336G1_1x2_Horizontal,2,Conn_01x02,
J6,PINREX-744-81-04TW00 _1x04_P2.54mm_Vertical,1,CAN2 PLUG,C402777
"JP1, JP10, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,10,SolderJumper_2_Open,
L1,L_Sunlord_SWPA5040S,1,10uH,C84608
L2,L_Chilisin_BMRB00060612,1,47uH,C5189962
"Q1, Q10, Q11",SOT-23,3,Q_NMOS_GSD,C2891566
"Q12, Q13, Q14, Q15, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-252-2,12,100V 34A PMOS,C2758447
"R1, R24",1206,2,10k,C3013377
"R10, R9",0603,2,10k,C25804
"R11, R12",0603,2,27,C25190
"R13, R14, R15",2512,3,3mΩ,C2688862
"R16, R17, R18, R19, R20, R21, R22, R23",2512,8,100R 2W,C309610
"R2, R3",2512,2,1k 2 watt,C270948
R25,0603,1,50mΩ,C126169
R26,0603,1,10Ω,C22859
"R27, R28, R34, R35, R37, R38",0603,6,50k 0.1%,C304067
"R29, R36, R39",0603,3,5.1k 0.1%,C122969
R30,0603,1,110k 0.1%,C100721
R31,0603,1,15k 0.1%,C22809
R32,0603,1,300k,C335091
R33,0603,1,21.5k,C705916
"R4, R8",0603,2,1.1k,C22764
"R40, R41",2512,2,2k 2 watt,C175463
R42,0603,1,120R,C22787
"R43, R6, R7",0603,3,5.1k,C23186
"SW1, SW2, SW3, SW4",SW_TS_1101_C_W,4,SW_MEC_5G,C318938
"TH1, TH2",0603,2,Thermistor 10k,C13564
TP1,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,1,TestPoint,C5199814
"TP2, TP3, TP4",TestPoint_Pad_D2.0mm,3,TestPoint,
U1,SOT-23-6,1,USBLC6-4SC6,C558419
U10,SOIC127P599X175-8N,1,ADS7822U,C16324
U11,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,1,TX4139,C329266
U12,SOT-223-3_TabPin2,1,TLV1117LV33DCYR,C15578
U13,SOT-363_SC-70-6,1,TXS0101DCKR,C132031
U14,SO-4_4.4x3.6mm_P2.54mm,1,EL357N(C)(TA)-G,C29981
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSIQ,C113767
"U3, U5",SOT-23-6,2,ADC081S021CISD/NOPB,C130227
U4,RP2040-QFN-56,1,RP2040,C2040
"U6, U7",SOT-23-6,2,INA181A2,C2058784
U8,SOT-666,1,USBLC6-2P6,C2827693
U9,SOT-23-6,1,MT2492,C89358
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
