Designator,Mid X,Mid Y,Rotation,Layer
C1,144.414001,-98.594,90.0,top
C10,110.0,-34.0,270.0,bottom
C11,110.0,-53.0,270.0,bottom
C12,110.0,-72.0,270.0,bottom
C13,110.0,-91.0,270.0,bottom
C14,151.404001,-78.774,90.0,top
C15,150.604002,-93.484001,270.0,top
C16,148.344001,-77.884001,90.0,top
C17,110.0,-110.0,270.0,bottom
C18,91.0,-117.5,90.0,bottom
C19,91.0,-98.5,90.0,bottom
C2,149.914,-95.734001,0.0,top
C20,91.0,-79.5,90.0,bottom
C21,91.0,-60.5,90.0,bottom
C22,91.0,-41.5,90.0,bottom
C23,72.0,-34.0,270.0,bottom
C24,72.0,-53.0,270.0,bottom
C25,72.0,-72.0,270.0,bottom
C26,72.0,-91.0,270.0,bottom
C27,72.0,-110.0,270.0,bottom
C28,88.735,-160.205001,270.0,top
C29,154.254001,-79.613999,0.0,top
C3,98.46033,-162.634143,270.0,top
C30,149.834,-77.874,90.0,top
C31,154.830001,-89.856,0.0,top
C32,154.194001,-81.114001,0.0,top
C33,154.830001,-88.323999,0.0,top
C34,141.752001,-82.204,90.0,top
C35,149.104,-93.473999,270.0,top
C36,154.104002,-82.624,0.0,top
C37,76.285,-131.045,270.0,top
C38,158.035,-124.089999,180.0,top
C39,112.695,-83.304999,270.0,top
C4,149.076002,-75.462,0.0,top
C40,145.605002,-49.869699,180.0,top
C41,114.415,-83.295,90.0,top
C42,159.43,-33.250001,0.0,top
C43,141.32,-43.200001,270.0,top
C44,144.585001,-43.765,270.0,top
C45,158.864999,-49.434999,180.0,top
C46,159.595,-38.585,180.0,top
C47,155.790001,-38.879999,270.0,top
C48,162.344999,-49.305001,0.0,top
C49,162.460001,-32.51,270.0,top
C5,129.0,-117.5,90.0,bottom
C50,162.845001,-37.265,270.0,top
C51,155.950001,-44.379999,270.0,top
C52,164.860001,-37.265,270.0,top
C53,144.190002,-32.035,270.0,top
C6,129.0,-98.5,90.0,bottom
C7,129.0,-79.5,90.0,bottom
C8,129.0,-60.5,90.0,bottom
C9,129.0,-41.5,90.0,bottom
D1,161.62,-73.533999,180.0,top
D10,110.025,-94.9,270.0,top
D11,109.975,-113.85,270.0,top
D12,90.975,-113.724999,90.0,top
D13,90.975,-94.825,90.0,top
D14,90.975,-75.625,90.0,top
D15,91.025,-56.875,90.0,top
D16,91.025,-37.575,90.0,top
D17,71.975,-37.9,270.0,top
D18,71.975,-57.0,270.0,top
D19,72.075,-75.75,270.0,top
D2,129.025,-113.825,90.0,top
D20,72.025001,-94.95,270.0,top
D21,71.975,-114.15,270.0,top
D22,137.505001,-125.18,90.0,top
D23,134.53,-46.225,180.0,top
D24,80.98,-154.325001,180.0,top
D25,134.53,-50.274999,180.0,top
D26,144.2,-38.634998,180.0,top
D27,116.539999,-86.175,0.0,top
D28,157.759999,-97.724999,180.0,top
D29,67.86,-154.825,180.0,top
D3,128.975,-94.675,90.0,top
D30,161.875,-113.1,180.0,top
D31,161.875,-116.35,180.0,top
D32,161.875,-119.6,180.0,top
D33,136.925,-169.86,270.0,top
D34,99.24,-124.475001,180.0,top
D4,129.025,-75.275,90.0,top
D5,129.025,-56.625,90.0,top
D6,129.025,-37.425,90.0,top
D7,109.975,-37.85,270.0,top
D8,110.025,-56.65,270.0,top
D9,109.975,-75.85,270.0,top
J1,164.480001,-82.249999,90.0,top
J2,153.827,-60.432001,180.0,top
J3,87.474999,-147.745,90.0,top
J4,138.695,-155.059999,270.0,top
J5,138.695,-137.659998,270.0,top
J6,163.645,-106.305,90.0,top
L1,160.630001,-42.175001,0.0,top
L2,151.435001,-35.884999,90.0,top
Q1,129.859997,-166.145,0.0,top
Q10,155.064999,-110.105,180.0,top
Q11,93.865,-124.375,0.0,top
Q12,94.685001,-154.575,180.0,top
Q13,94.685,-147.244997,180.0,top
Q14,94.685001,-139.645002,180.0,top
Q15,94.685,-132.095,180.0,top
Q2,129.255,-137.030001,180.0,top
Q3,129.305,-160.880001,180.0,top
Q4,129.255001,-144.300003,180.0,top
Q5,129.304999,-153.500001,180.0,top
Q6,119.534999,-137.030001,0.0,top
Q7,119.584999,-160.880002,0.0,top
Q8,119.535,-144.280001,0.0,top
Q9,119.585,-153.530001,0.0,top
R1,134.360001,-166.005,180.0,top
R10,86.195,-157.265,180.0,top
R11,158.912002,-78.6,90.0,top
R12,157.352001,-78.599999,90.0,top
R13,87.404999,-131.095,270.0,top
R14,147.904999,-127.389997,270.0,top
R15,83.164999,-131.095,270.0,top
R16,138.095,-106.205,90.0,top
R17,138.094998,-114.295,270.0,top
R18,142.265001,-106.195,270.0,top
R19,142.245001,-114.305,90.0,top
R2,128.195,-128.155,90.0,top
R20,146.375001,-106.205,90.0,top
R21,146.365,-114.295,270.0,top
R22,150.884999,-106.195,270.0,top
R23,150.875,-114.205001,90.0,top
R24,99.355,-126.775,180.0,top
R25,144.525001,-41.250001,180.0,top
R26,155.035001,-41.155,0.0,top
R27,113.455001,-88.024999,0.0,top
R28,116.755,-88.034999,0.0,top
R29,120.105,-88.045,0.0,top
R3,132.335,-128.155,90.0,top
R30,164.150001,-32.5,90.0,top
R31,163.350001,-34.77,0.0,top
R32,154.340001,-44.369999,90.0,top
R33,150.210001,-46.72,0.0,top
R34,157.244999,-103.145,180.0,top
R35,156.705,-100.585001,90.0,top
R36,158.715,-100.585,90.0,top
R37,67.784998,-160.225,180.0,top
R38,66.835001,-157.585,90.0,top
R39,68.845,-157.585,90.0,top
R4,146.426001,-68.292,0.0,top
R40,131.345,-170.345,0.0,top
R41,99.945,-121.435,0.0,top
R42,164.095,-94.795,180.0,top
R43,153.405,-96.315,0.0,top
R5,141.448001,-79.756,90.0,top
R6,158.756001,-85.782999,90.0,top
R7,161.833002,-75.983999,180.0,top
R8,147.604002,-93.914,270.0,top
R9,95.34033,-159.899142,180.0,top
SW1,161.543,-65.329001,180.0,top
SW2,136.0,-81.375,270.0,top
SW3,136.0,-69.375,270.0,top
SW4,136.0,-93.375,270.0,top
TH1,125.075,-148.900001,180.0,top
TH2,88.155,-153.155,0.0,top
TP1,155.875,-70.155001,0.0,top
U1,150.844999,-67.100001,90.0,top
U10,118.0775,-81.11,90.0,top
U11,149.780001,-43.175,0.0,top
U12,160.97,-54.775,270.0,top
U13,161.975,-109.925,0.0,top
U14,157.975,-93.325,180.0,top
U2,144.647001,-74.002,270.0,top
U3,95.33033,-162.704144,180.0,top
U4,148.264001,-86.244,0.0,top
U5,85.815,-159.975,180.0,top
U6,158.125,-126.719999,0.0,top
U7,79.125,-131.055,90.0,top
U8,158.080002,-81.664999,270.0,top
U9,159.73,-36.069999,180.0,top
Y1,147.734,-98.494,180.0,top
